lib,title,target
암사,[암사도서관 ART 人 LIBRARY] 미술 체험 - ART 하다,대상 : 성인 10명
강일,[4월 문화가 있는 날] 「말이 '시'가 되고 시가 '노래'가 되는 말놀이」,대상 : 6~7세
해공,해공도서관 정치커뮤니티 <정치테마 북클럽> 회원 모집,대상 : 정치에 관심있는 성인 10명
천호,[문화가있는날] 사서's 책놀이 - 장비 비누 만들기 ,대상 : 6~7세
해공,해공도서관 신중년 커뮤니티 <아라비> 추가 회원 모집,대상 : 성인 5명
천호,미디어리터러시 심화과정 <부모의 시선>,대상 : 양육자 20명
둔촌,[힐링 특화 프로그램] 지친MOM 위로하는 그림책 테라피,대상 : 초등~청소년 학부모 15명
강일,[세계 책의 날] 업사이클링 팝업북 행사 ,대상 : 8~10세 
천호,천호해결단  1기 요원 모집(견학·이용자교육),대상 : 8~9세
암사,[개관12주년] 저자강연 곽재식의 미래를 파는 상점,대상 : 청소년 및 성인
암사,"[도서관주간] 어린이 북아트 체험 ""네 쓰레기통을 보여줘""",대상 : 7세~9세
성내,"[개관&책의날행사] ""만복이네 떡집"" 김리리 작가님 강연",대상 : 초등 1~3학년
둔촌,[도서관주간행사]<걱정세탁소> 홍민정 저자 강연,대상 : 초등 1~3학년
암사,[암사도서관 ART 人 LIBRARY] 미술관 탐방 - 빛 : 영국 테이트미술관 특별전 (2차 접수),대상 : 성인 7명
암사,[암사도서관 ART 人 LIBRARY] 미술관 탐방 - 빛 : 영국 테이트미술관 특별전 (1차 접수),대상 : 성인 7명
해공,[도서관주간행사] 업사이클링 북아트 「나만의 북트리 만들기」,대상 : 초등학교 저학년 10명
해공,[도서관주간행사] 홍지호 시인 낭독회 「봄 그리고 시」,대상 : 성인15명
천호,[모집] 2022 천호도서관 텃밭프로그램 [새싹쑥쑥 도서관 꼬마농부] B팀,대상 : 초등학생 저학년 이하 어린이와 가족
천호,[모집] 2022 천호도서관 텃밭프로그램 [새싹쑥쑥 도서관 꼬마농부] A팀,대상 : 초등학생 저학년 이하 어린이와 가족
성내,성내 1:1 창업 상담 [4월],대상 : 성인
암사,[초등5~6] 2022 미디어교육 평생교실「똑똑한 뉴스 읽기」,대상 : 초등 5~6학년
암사,[초등3~4] 2022 미디어교육 평생교실「똑똑한 뉴스 읽기」,대상 : 초등 3~4학년
암사,[모집] 랜선미술관 오르세편,대상 : 성인
강일,[강일도서관]초등 자녀교육 독서 커뮤니티 신규모집 ,대상 : 성인(초등학생 자녀를 둔 학부모)
성내,"[그림책 특화] 성내도서관 <그림책, 작가와 만나다> 4월 강연",대상 : 성인
둔촌,[모집] 'MBTI로 알아가는 우리' 심리탐구 커뮤니티 신규 모집,대상 : 성인 10명
해공,"신중년 미디어 리터러시 교육 「스마트폰, 일상을 기록하다」",대상 : 신중년(50+)
천호,[모집] 천호도서관 온마을i 커뮤니티(독서모임) 모집 ,대상 : 독서모임에 관심있는 지역주민 누구나
강일,[강일도서관] 2022년 독서·문화 커뮤니티 신규 모집,대상 : 성인
해공,해공도서관 경제커뮤니티 <읽코노미>,대상 : 성인
둔촌,[문화강좌] 감성힐링 수채캘리그라피,대상 : 성인
둔촌,[문화강좌] 독서심리상담사 2급 자격과정 (입문),대상 : 성인
성내,[개관&책의날행사] 빈티지 가죽공예:북(BOOK)커버 만들기,대상 : 성인
성내,[개관&책의날행사] 디지털드로잉:아이패드로 그리는 나만의 소설 속 세상,대상 : 성인
둔촌,[모집] 힐링글쓰기Ⅰ<글멍하는 슬로우라이터(Slow Writer)>,대상 : 성인
해공,해공도서관 커뮤니티 <벽돌책 독파하기> 추가 모집,대상 : 성인
