년,월,시도,시군구,등록외국인 수
2022,02,전라남도,진도군,1346
2022,02,전라남도,함평군,605
2022,02,전라남도,해남군,1289
2022,02,전라남도,화순군,779
2022,02,전라북도,고창군,814
2022,02,전라북도,군산시,5841
2022,02,전라북도,김제시,1753
2022,02,전라북도,남원시,875
2022,02,전라북도,무주군,189
2022,02,전라북도,부안군,783
2022,02,전라북도,순창군,316
2022,02,전라북도,완주군,2970
2022,02,전라북도,익산시,4394
2022,02,전라북도,임실군,266
2022,02,전라북도,장수군,323
2022,02,전라북도,전주시 덕진구,4524
2022,02,전라북도,전주시 완산구,4259
2022,02,전라북도,정읍시,2416
2022,02,전라북도,진안군,315
2022,02,제주특별자치도,서귀포시,6971
2022,02,제주특별자치도,제주시,13604
2022,02,충청남도,계룡시,190
2022,02,충청남도,공주시,1888
2022,02,충청남도,금산군,1888
2022,02,충청남도,논산시,3653
2022,02,충청남도,당진시,5040
2022,02,충청남도,보령시,2740
2022,02,충청남도,부여군,1125
2022,02,충청남도,서산시,3830
2022,02,충청남도,서천군,1234
2022,02,충청남도,아산시,16192
2022,02,충청남도,예산군,1982
2022,02,충청남도,천안시 동남구,7604
2022,02,충청남도,천안시 서북구,10152
2022,02,충청남도,청양군,603
2022,02,충청남도,태안군,1365
2022,02,충청남도,홍성군,2318
2022,02,충청북도,괴산군,810
2022,02,충청북도,단양군,169
2022,02,충청북도,보은군,496
2022,02,충청북도,영동군,793
2022,02,충청북도,옥천군,670
2022,02,충청북도,음성군,8340
2022,02,충청북도,제천시,1460
2022,02,충청북도,증평군,846
2022,02,충청북도,진천군,5462
2022,02,충청북도,청주시 상당구,1110
2022,02,충청북도,청주시 서원구,2474
2022,02,충청북도,청주시 청원구,3704
2022,02,충청북도,청주시 흥덕구,4902
2022,02,충청북도,충주시,4487
2022,03,강원도,강릉시,2306
2022,03,강원도,고성군,1217
2022,03,강원도,동해시,727
2022,03,강원도,삼척시,624
2022,03,강원도,속초시,1042
2022,03,강원도,양구군,315
2022,03,강원도,양양군,286
2022,03,강원도,영월군,232
2022,03,강원도,원주시,3312
2022,03,강원도,인제군,291
2022,03,강원도,정선군,259
2022,03,강원도,철원군,613
2022,03,강원도,춘천시,3774
2022,03,강원도,태백시,245
2022,03,강원도,평창군,437
2022,03,강원도,홍천군,754
2022,03,강원도,화천군,209
2022,03,강원도,횡성군,701
2022,03,경기도,가평군,1037
2022,03,경기도,고양시 덕양구,4219
2022,03,경기도,고양시 일산동구,3765
2022,03,경기도,고양시 일산서구,2961
2022,03,경기도,과천시,195
2022,03,경기도,광명시,3468
2022,03,경기도,광주시,10843
2022,03,경기도,구리시,1390
2022,03,경기도,군포시,5461
2022,03,경기도,김포시,17717
2022,03,경기도,남양주시,7047
2022,03,경기도,동두천시,3241
2022,03,경기도,부천시,23714
2022,03,경기도,성남시 분당구,2673
2022,03,경기도,성남시 수정구,8769
2022,03,경기도,성남시 중원구,2464
2022,03,경기도,수원시 권선구,8614
2022,03,경기도,수원시 영통구,6928
2022,03,경기도,수원시 장안구,6314
2022,03,경기도,수원시 팔달구,11288
2022,03,경기도,시흥시,31352
2022,03,경기도,안산시 단원구,34104
2022,03,경기도,안산시 상록구,12237
2022,03,경기도,안성시,10759
2022,03,경기도,안양시 동안구,1537
2022,03,경기도,안양시 만안구,4536
2022,03,경기도,양주시,6680
2022,03,경기도,양평군,1298
2022,03,경기도,여주시,3135
2022,03,경기도,연천군,824
2022,03,경기도,오산시,8517
2022,03,경기도,용인시 기흥구,4206
2022,03,경기도,용인시 수지구,2891
2022,03,경기도,용인시 처인구,9074
2022,03,경기도,의왕시,972
2022,03,경기도,의정부시,4605
2022,03,경기도,이천시,6659
2022,03,경기도,파주시,10353
2022,03,경기도,평택시,24159
2022,03,경기도,포천시,11335
2022,03,경기도,하남시,2198
2022,03,경기도,화성시,34932
2022,03,경상남도,거제시,5146
2022,03,경상남도,거창군,516
2022,03,경상남도,고성군,1005
2022,03,경상남도,김해시,15920
2022,03,경상남도,남해군,772
2022,03,경상남도,밀양시,2434
2022,03,경상남도,사천시,2910
2022,03,경상남도,산청군,528
2022,03,경상남도,양산시,5514
2022,03,경상남도,의령군,683
2022,03,경상남도,진주시,4469
2022,03,경상남도,창녕군,2070
2022,03,경상남도,창원시 마산합포구,1921
2022,03,경상남도,창원시 마산회원구,1750
2022,03,경상남도,창원시 성산구,3337
2022,03,경상남도,창원시 의창구,2895
2022,03,경상남도,창원시 진해구,2968
2022,03,경상남도,통영시,3537
2022,03,경상남도,하동군,432
2022,03,경상남도,함안군,2788
2022,03,경상남도,함양군,359
2022,03,경상남도,합천군,596
2022,03,경상북도,경산시,10341
2022,03,경상북도,경주시,9143
2022,03,경상북도,고령군,1378
2022,03,경상북도,구미시,4606
2022,03,경상북도,군위군,418
2022,03,경상북도,김천시,2351
2022,03,경상북도,문경시,621
2022,03,경상북도,봉화군,299
2022,03,경상북도,상주시,1138
2022,03,경상북도,성주군,1419
2022,03,경상북도,안동시,1281
2022,03,경상북도,영덕군,911
2022,03,경상북도,영양군,250
2022,03,경상북도,영주시,758
2022,03,경상북도,영천시,2617
2022,03,경상북도,예천군,472
2022,03,경상북도,울릉군,136
2022,03,경상북도,울진군,1465
2022,03,경상북도,의성군,501
2022,03,경상북도,청도군,903
2022,03,경상북도,청송군,181
2022,03,경상북도,칠곡군,3745
2022,03,경상북도,포항시 남구,3206
