번호,행사명,대상,장소,행사일시,유무료
185,5/28 오전 10시-체험동화마을<방귀쟁이 새색시> ,어린이,강북청소년문화정보...,2022-05-28,무료
184,5/21 오전 11시-체험동화마을<방귀쟁이 새색시> ,어린이,강북청소년문화정보...,2022-05-21,무료
183,5/21 오전 10시-체험동화마을<방귀쟁이 새색시> ,어린이,강북청소년문화정보...,2022-05-21,무료
182,5/14 오전 11시-체험동화마을<방귀쟁이 새색시> ,어린이,강북청소년문화정보...,2022-05-14,무료
181,5/14 오전 10시-체험동화마을<방귀쟁이 새색시> ,어린이,강북청소년문화정보...,2022-05-14,무료
180,5월 사서쌤과 책읽기(4~6학년) - 5월 24일(화) 대면,어린이,강북청소년문화정보...,2022-05-24,무료
179,5월 사서쌤과 책읽기(4~6학년) - 5월 21일(토) 대면,어린이,강북청소년문화정보...,2022-05-21,무료
178,5월 사서쌤과 책읽기(1~3학년) - 5월 17일(화) 대면,어린이,강북청소년문화정보...,2022-05-17,무료
177,5월 사서쌤과 책읽기(1~3학년) - 5월 14일(토) 대면,어린이,강북청소년문화정보...,2022-05-14,무료
176,[비대면] 나만의 NFT 작품을 발행하는 방법 / 성인,성인,3층 상상공작소,2022-05-12,"20,000 원"
175,[대면] 실루엣커팅기로 가정의 달 봉투 토퍼 만들기 / 성인,성인,3층 상상공작소,2022-05-07,무료
174,[대면] 상상공작소 장비활용교육(UV프린터) / 중학생~성인,어린이,3층 상상공작소,2022-05-14,무료
173,[대면] 5월 명화와 함께하는 3D펜 / 초등 4~6학년,어린이,3층 상상공작소,2022-05-19,무료
172,[대면] 5월 명화와 함께하는 3D펜 / 초등 1~3학년,어린이,3층 상상공작소,2022-05-12,무료
171,[비대면] 4.19 기념 스텐실 태극기 에코백 만들기 / 초등 3-4학년,어린이,비대면(ZOOM),2022-04-19,무료
170,[비대면] 트리플체인 북바인딩 노트 만들기 / 중고생,청소년,비대면(ZOOM),2022-04-16,무료
169,체험형 동화구연 동아리원 모집,성인,강북청소년문화정보...,2022-04-20,무료
168,[비대면] 아두이노와 3D프린터로 스마트카 만들기 / 초등4~6학년,어린이,비대면(ZOOM),2022-04-07,"20,000 원"
167,[비대면] DIY 큐브 현미경과 표본 관찰 수업 / 성인,성인,비대면(ZOOM),2022-04-09,무료
166,[대면] 상상공작소 장비활용교육(3D프린터) / 중학생~성인,어린이,3층 상상공작소,2022-04-23,무료
165,[대면] 4월 명화와 함께하는 3D펜 / 초등 1~3학년,어린이,3층 상상공작소,2022-04-13,무료
164,[대면] 4월 명화와 함께하는 3D펜 / 초등 4~6학년,어린이,3층 상상공작소,2022-04-06,무료
163,4월 사서쌤과 책읽기(4~6학년) - 4월 16일(토) 대면(!일정변경!),어린이,강북청소년문화정보...,2022-04-16,무료
162,4월 사서쌤과 책읽기(4~6학년) - 4월 20일(수) 비대면,어린이,비대면 줌(Zoo...,2022-04-20,무료
161,4월 사서쌤과 책읽기(1~3학년) - 4월 13일(수) 비대면,어린이,비대면 줌(Zoo...,2022-04-13,무료
