title,도서관,장소,신청/정원,교육기간,접수기간,수강료,대상
마음에 꽃을 피우다 <긍정·원예 심리>(초등 3~5학년),한경,한경도서관 1층 다목적실,12/15  (대기 : 5) ,2021-08-05 ~ 2021-08-26,2021-07-27 ~ 2021-07-30,0,초등학생
"(초등3~5학년) 스토리가 있는 팝업북!-방학프로그램(재료비5,000)..",서귀포기적,"비대면(zoom활용,각 가정)",10/10  (대기 : 5) ,2021-08-05 ~ 2021-08-13,2021-07-22 ~ 2021-08-02,재료비5000,초등학생
(초등1~2학년) 그림책과 창의아트-방학프로그램,서귀포기적,"비대면(zoom활용,각 가정)",13/10  (대기 : 4) ,2021-08-01 ~ 2021-08-22,2021-07-22 ~ 2021-07-29,0,초등학생
"서부도서관 '노래,영어,그리고 그림책' 여름방학 프로그램 ..",서부,서부도서관 문화창작실,14/10  (대기 : 4) ,2021-08-13 ~ 2021-08-21,2021-07-21 ~ 2021-08-07,0,초등학생
서부도서관 '다독다톡(多讀多TALK)' 여름방학 프로그램 ..,서부,서부도서관 문화창작실,10/10  (대기 : 4) ,2021-07-30 ~ 2021-08-20,2021-07-21 ~ 2021-07-28,0,초등학생
동부도서관 여름 독서교실 참여자 모집(4~6학년),동부,동부도서관 시청각실,12/13  (대기 : 5) ,2021-08-03 ~ 2021-08-06,2021-07-20 ~ 2021-07-28,,초등학생
제103회 여름독서교실 참가자모집(초등3-5학년),서귀포기적,각 가정(zoom활용),10/12  (대기 : 5) ,2021-08-10 ~ 2021-08-13,2021-07-20 ~ 2021-08-05,0,초등학생
한경도서관 여름방학 특강 『아름다운 화산섬 제주: 곶자왈』 (초등 3~6학..,한경,비대면 실시간 온라인(리모트미팅 프로그램),9/10 ,2021-08-01 ~ 2021-08-29,2021-07-19 ~ 2021-07-23,무료,초등학생
중앙도서관 제103회 여름 독서교실 참가자 모집,중앙,비대면 운영,15/12  (대기 : 5) ,2021-08-02 ~ 2021-08-05,2021-07-19 ~ 2021-07-30,,초등학생
<어린이 여름독서교실> 초등 5학년 '어린이 그림책 시사 파일'..,탐라,온라인(ZOOM),12/20 ,2021-07-26 ~ 2021-08-18,2021-07-19 ~ 2021-07-23,없음,초등학생
<어린이 여름독서교실> 초등 4학년 '마음 놀이터에 어서 오세요'..,탐라,온라인(ZOOM),20/20 ,2021-07-28 ~ 2021-08-19,2021-07-19 ~ 2021-07-21,없음,초등학생
안덕산방도서관 제103회 여름 독서교실<생꼬꼬무 책수다> 참가자 모집 ..,안덕산방,비대면 운영(zoom 활용),13/12  (대기 : 5) ,2021-08-02 ~ 2021-08-05,2021-07-19 ~ 2021-07-31,무료,초등학생
