강좌명,대상,기간
[메이커-교육] 창의융합형 VR 교육 프로그램 참가자 모집,어린이,2022.01.18(화)~2022.01.21(금)
[메이커-교육] (인공지능)다이아보드와 함께하는 피지컬 코딩,어린이,2022.01.08(토)~2022.03.05(토)
[메이커-교육] 3D 공작소: 3D 모델링 창의교육,어린이,2022.01.08(토)~2022.03.19(토)
[메이커-교육] 웹툰창작 중급반 참가자 모집,어린이,2022.01.09(일)~2022.03.20(일)
[메이커-교육] 웹툰창작 초급반 참가자 모집,어린이,2022.01.09(일)~2022.03.20(일)
(그림책과 함께하는) 반려식물 키우기-원데이클래스(12/27),성인,2021.12.27(월)~2021.12.27(월)
(그림책과 함께하는) 반려식물 키우기-원데이클래스(12/20),성인,2021.12.20(월)~2021.12.20(월)
(그림책과 함께하는) 반려식물 키우기-원데이클래스(12/13),성인,2021.12.13(월)~2021.12.13(월)
(그림책과 함께하는) 반려식물 키우기-원데이클래스(12/6),성인,2021.12.06(월)~2021.12.06(월)
도서관에서 메이커되기 - 웹툰활동으로 메이커 되기,성인,2021.12.08(수)~2021.12.08(수)
도서관에서 메이커 되기 - 공예활동(가죽공예)으로 메이커 되기 2,성인,2021.12.30(목)~2021.12.30(목)
도서관에서 메이커되기 - 공예활동(가죽공예)으로 메이커 되기 1,성인,2021.12.23(목)~2021.12.23(목)
도서관에서 메이커 되기 - 페이퍼커팅기로 메이커 되기,성인,2021.12.16(목)~2021.12.16(목)
[서울북스타트 부모교육4] 어린이는 자유놀이를 찾아가는 위대한 탐험가,전연령,2021.12.23(목)~2021.12.23(목)
도서관에서 메이커되기- 재봉틀로 메이커 되기 2,성인,2021.12.16(목)~2021.12.16(목)
도서관에서 메이커되기-재봉틀로 메이커 되기 1,성인,2021.12.09(목)~2021.12.09(목)
팹 라이브러리에서 놀자!(크리스마스 오너먼트 만들기 편),전연령,2021.12.17(금)~2021.12.17(금)
팹라이브러리 12월 <3D펜으로 새해카드 만들기 > 체험 프로그램,전연령,2021.12.29(수)~2021.12.29(수)
2021 광진정보도서관 「권오준 작가와의 만남」 ,어린이,2021.12.18(토)~2021.12.18(토)
문화가 있는 수요일: 웹툰 창작 체험 12월,전연령,2021.12.29(수)~2021.12.29(수)
팹 라이브러리 장비사용교육(12/18),전연령,2021.12.18(토)~2021.12.18(토)
팹 라이브러리 장비사용교육(12/4),전연령,2021.12.04(토)~2021.12.04(토)
[온라인] '한강 문학 살롱' <긴긴밤> 루리 작가와의 만남,전연령,2021.12.02(목)~2021.12.02(목)
예술로 보는 고대 이집트 신화(온라인 강의),전연령,2021.12.06(월)~2021.12.27(월)
"한가람 인문학: 우리, 둘러보기(환경문제)",전연령,2021.11.23(화)~2021.12.14(화)
"한가람 인문학: 우리, 둘러보기(페미니즘)",전연령,2021.12.01(수)~2021.12.15(수)
낭만살롱; 클래식이 알고 싶다(온라인 강의),전연령,2021.11.26(금)~2021.12.03(금)
[온라인] '한강 문학 살롱' 이석원 작가와의 만남,전연령,2021.11.24(수)~2021.11.24(수)
[메이커-교육] 성인 단편 영화 제작 프로그램 수강생 모집,성인,2021.12.09(목)~2021.12.12(일)
 [중곡 온라인] '2021년 공공도서관 문화가 있는 날' 11월  온라인 비대면 공연 관람 신청,전연령,2021.11.27(토)~2021.11.27(토)
[메이커-교육] 웹툰창작 소감툰 그리기,어린이,2021.12.05(일)~2021.12.19(일)
[메이커-교육] 웹툰창작 여행툰 그리기 ,어린이,2021.12.05(일)~2021.12.19(일)
[중곡 온라인] 인문학 프로그램  [가족의 두 얼굴: 사랑하지만 상처도 주고 받는 가족의 인문학 ],성인,2021.11.24(수)~2021.12.08(수)
세계화의 역사와 전망(온라인 강의),전연령,2021.11.29(월)~2021.11.29(월)
환경UP 창의력UP 그림책 업사이클링(2021 4분기 광진정보도서관 교육문화프로그램),어린이,2021.11.27(토)~2021.12.18(토)
[서울북스타트 부모교육3] 아이와 나를 연결하는 그림과 언어,전연령,2021.11.18(목)~2021.11.18(목)
[메이커-교육] 세종대학교x광진정보도서관 영상편집(파워디렉터) 교육,성인,2021.11.17(수)~2021.11.26(금)
"팹 라이브러리에서 놀자! DIY 공중부양모빌만들기 중급편(퓨전360) 11/19, 11/26",전연령,2021.11.19(금)~2021.11.26(금)
팹 라이브러리에서 놀자! DIY 공중부양모빌만들기 초급편(틴커캐드) 11/13,전연령,2021.11.13(토)~2021.11.13(토)
2021 한 도서관 한 책 읽기 - (집에서 즐기는) 우리 가족 독서 반상회 (키트 배부 및 가정 내 토론 활동),전연령,2021.11.01(월)~2021.12.19(일)
팹 라이브러리 장비사용교육(11/20),전연령,2021.11.20(토)~2021.11.20(토)
팹 라이브러리 장비사용교육(11/6),전연령,2021.11.06(토)~2021.11.06(토)
팹라이브러리 11월 < 우드버닝  Do It Together! > 체험 프로그램,전연령,2021.11.24(수)~2021.11.24(수)
문화가 있는 수요일: 웹툰 창작 체험 11월,전연령,2021.11.24(수)~2021.11.24(수)
와글와글 과학놀터(2021 4분기 광진정보도서관 교육문화프로그램),어린이,2021.11.06(토)~2021.12.18(토)
도서관 한국사 탐험대!(2021 4분기 광진정보도서관 교육문화프로그램),어린이,2021.11.06(토)~2021.12.18(토)
어린이 갈래별 글쓰기 생활: 독후감 편 2(2021 4분기 광진정보도서관 교육문화프로그램),어린이,2021.11.06(토)~2021.12.18(토)
당신의 밥상이 남긴 탄소발자국(ZOOM 온라인 강의),전연령,2021.11.01(월)~2021.11.01(월)
"괴물박사, 곽재식 작가와의 만남(광진정보도서관 작가와의 만남, 만남의 광장 4분기)",전연령,2021.11.03(수)~2021.11.03(수)
2021 한 도서관 한 책 읽기 '<페인트> 이희영 작가와의 만남' 모집안내,전연령,2021.10.26(화)~2021.10.26(화)
2021 한 도서관 한 책 읽기 [미디어로 텍스트 읽기] 모집 안내 ,전연령,2021.10.14(목)~2021.10.28(목)
