,지역,title,target
161,마포구,[지혜의도서관] 우리는 어떻게 이런 현재에 이르렀는가(1회차강연),전연령
162,마포구,[제57회 도서관 주간 행사] 책방 속 마법 우체국(비대면 라이브 공연),어린이
163,마포구,"마중도  어린이 북큐레이터 (초5,6)",어린이
164,마포구,[어린이 다문화 상호이해 프로그램] 음악으로 만나는 다문화세상,어린이
165,마포구,★ 추가모집 - 〈동서양 역사 속의 질병과 의학 이야기〉 백신의 글로벌 확산과 두창의 박멸 (2회차),전연령
166,마포구, '아티스트웨이' 프로그램,시니어
167,마포구,〈동서양 역사 속의 질병과 의학 이야기〉 두창과 인류 최초의 백신 (1회차),전연령
168,광진구,[한 주제로 함께 읽기] <책들의 부엌> 김지혜 작가 북토크,전연령
169,광진구,[팹라이브러리] 장비사용안전교육(9/24),전연령
170,광진구,[팹라이브러리] 장비사용안전교육(9/17),전연령
171,광진구,[미디어창작관] 9월: OBS를 활용한 책 소개 영상 제작,성인
172,광진구,마지막 주 문화가 있는 수요일 < 설거지 비누 만들기> [9/28],청소년
173,광진구,2022년 하반기 광진정보도서관 청소년독서회(중학교 2/3학년),청소년
174,광진구,2022년 하반기 광진정보도서관 청소년독서회(중학교 1학년),청소년
175,광진구,[메이커-교육] 웹툰창작 중급반 참가자 모집,어린이
176,광진구,[메이커-교육] 웹툰창작 초급반 참가자 모집,어린이
177,광진구,[메이커-교육] 3D 공작소: 3D모델링-Blender 중급반,어린이
178,광진구,[온라인] 광진정보도서관 작가와의 만남 <일생도서관: 8월 노명우 교수>,전연령
179,광진구,[오프라인] 광진정보도서관 작가와의 만남 <일생도서관: 8월 노명우 교수>,전연령
180,광진구,[메이커-교육] 웹툰창작 성인반 참가자 모집,성인
181,광진구,[팹라이브러리]에서 놀자! 진공성형기를 활용한 석고방향제 만들기! (8/25~8/26),어린이
182,광진구,[팹라이브러리] 장비사용안전교육(8/27),전연령
183,광진구,[팹라이브러리] 매월(8월) 마지막 주 문화가 있는 수요일 <감성놀이 드림캐처 작품 만들기> [8/31],어린이
184,광진구,[팹라이브러리] 장비사용안전교육(8/13),전연령
185,광진구,8월 문화가 있는 수요일 웹툰 창작 체험: 덕질툰 그리기,전연령
186,광진구,2022년 도서관 지혜학교,성인
187,광진구,[미디어창작공간] 8월: OBS를 활용한 영화 리뷰 영상 제작,성인
188,광진구,[메이커-교육] 어린이 영상편집 교육 여름 특강,어린이
189,광진구,광진정보도서관 여름방학 독서교실 [광브르 곤충아카데미] ,어린이
190,광진구,[광진-오프라인] 시니어 스마트폰 활용 교육지도사 양성과정,성인
191,광진구,[팹라이브러리]에서 놀자! 유니맷 직소를 활용한 양인형 만들기!(7/29),어린이
192,광진구,[팹라이브러리]에서 놀자! 유니맷 직소를 활용한 양인형 만들기!(7/28),어린이
193,광진구,[팹라이브러리]  3D모델링 피규어 만들기 (퓨전360+3D프린터),성인
194,광진구,[오프라인] 광진정보도서관 작가와의 만남 <일생도서관: 7월 홍인혜(LUNA) 작가>,전연령
195,광진구,[온라인] 광진정보도서관 작가와의 만남 <일생도서관: 7월 홍인혜(LUNA) 작가>,전연령
196,광진구,재공지 [광진-온라인] 정여울의 글쓰기 수업 -2022년 주민참여인문학 Ⅱ,전연령
197,광진구,[광진-온라인] 우리 각자의 미술관 -2022년 주민참여인문학 Ⅰ,전연령
198,광진구,7월 문화가 있는 수요일 웹툰 창작 체험: 꿈툰 그리기,전연령
199,광진구,[온라인] <2022년 광진구 독서동아리 사업설명회>,성인
200,광진구,[미디어창작공간] 7월: OBS를 활용한 취미&여행지 소개 영상 만들기,성인
201,광진구,[팹라이브러리] 원데이클래스 : 전문강사님과 함께하는 '재봉틀 컵홀더 만들기',청소년
202,광진구,[팹라이브러리] 매월(7월) 마지막 주 문화가 있는 수요일 <신소재 슈링클스&3D펜 작품만들기> [7/27],어린이
203,광진구,[팹라이브러리] 장비사용안전교육(7/23),전연령
204,광진구,[팹라이브러리] 장비사용안전교육(7/9),전연령
205,광진구,[대면]2022년 광진정보도서관 북스타트 자원활동가 모집 및 양성교육 (총 6회),성인
206,광진구,[온라인] 광진정보도서관 작가와의 만남 <일생도서관: 6월 오세란 청소년문학평론가>,청소년
207,광진구,"자양한강도서관 2022 북스타트프로그램 '그림책으로 맘 준비, 맘 돌봄!'(대면)",전연령
208,광진구,[메이커-교육] 웹툰창작 중급반 참가자 모집,어린이
209,광진구,[메이커-교육] 웹툰창작 초급반 참가자 모집,어린이
210,광진구,[메이커-교육] 그림책과 함께하는 유쾌한 코딩,어린이
211,광진구,업사이클로 만나는 그림책(성인)(2022년 광진정보도서관 교육문화프로그램 2차),성인
212,광진구,"[팹라이브러리]에서 놀자! 밴딩 패턴을 이용한 MDF 꼬마상자 만들기 (퓨전360 & 레이저 커팅기) [6/17, 6/24 _ 총 2회차] ",어린이
213,광진구,[미디어창작공간] 6월: OBS를 활용한 우리 가족 뉴스 만들기,성인
214,광진구,[온라인] 광진정보도서관 작가와의 만남 <일생도서관: 6월 김민형 교수>,전연령
215,광진구,[메이커-교육] 3D 공작소: 3D 모델링 창의교육,어린이
216,광진구,전쟁으로 만나는 한국사(초등 5~6)(2022년 광진정보도서관 교육문화프로그램 2차),어린이
217,광진구,와글와글 과학놀터 (심화)(초등 3~4)(2022년 광진정보도서관 교육문화프로그램 2차),어린이
218,광진구,와글와글 과학놀터 (기초)(초등 1~2)(2022년 광진정보도서관 교육문화프로그램 2차),어린이
219,광진구,[팹라이브러리] 장비사용안전교육(6/25),전연령
220,광진구,[팹라이브러리] 장비사용안전교육(6/11),전연령
221,광진구,6월 문화가 있는 수요일 웹툰 창작 체험: 사파리 여행툰 그리기,전연령
222,광진구,[팹라이브러리] 매월(6월) 마지막 주 문화가 있는 수요일 <나만의 우드버닝 작품만들기> ,전연령
223,광진구,[온라인]2022 광진정보도서관 일상에서 만나는 인문학 <난처한 동양미술 이야기>,전연령
224,광진구,문해력 글쓰기 트레이닝(2022년 광진정보도서관 교육문화프로그램 2차),어린이
225,광진구,사진 읽어주는 도서관: 스마트폰으로 사진 잘 찍기(성인)(2022년 광진정보도서관 교육문화프로그램 2차),성인
226,광진구,[메이커-교육] 웹툰창작 성인반 참가자 모집,성인
227,광진구,한 주제로 함께 읽기 서포터즈 모집,전연령
228,광진구,[오프라인] 뮤키디오 콘서트<오늘의 난 미지근하게 축제>,성인
229,광진구,[중곡 온라인]  이남옥 교수 특강 <가족: 가장 가까이에 나와 닮은 타인들> 행복한 가족은 무엇이 다를까,성인
230,광진구,[온라인] 2022 광진정보도서관 트렌디 인문학 <미래를 읽는 경제아카데미>,전연령
231,광진구,[온라인] '한강 문학 살롱' 김남희 작가와의 만남,전연령
232,광진구,[미디어창작공간] 5월: OBS를 활용한 책 소개 영상 제작,성인
233,광진구,[온라인] 광진정보도서관 작가와의 만남 <일생도서관: 5월 김범준 작가> ,전연령
234,광진구,[오프라인] 광진정보도서관 작가와의 만남 <일생도서관: 5월 김범준 작가> ,전연령
235,광진구,5월 문화가 있는 수요일 웹툰 창작 체험: 가족 일상툰 그리기,성인
236,광진구,[온라인] 2022년 자양한강도서관 한가람인문학(1) <클래식은 처음이라>,전연령
237,광진구,[팹라이브러리] 매월(5월) 마지막 문화가 있는 수요일 <유니맷으로 나만의 우든샤프 만들기> [5/25],성인
238,광진구,[팹라이브러리] 장비사용안전교육(5/28),전연령
239,광진구,[팹라이브러리] 장비사용안전교육(5/14),전연령
240,광진구,광진정보도서관 실버이야기교실 14기 참여자 모집,성인
241,광진구,"[온라인_중곡]도서관 인문학 콘서트 김누리, 김찬호, 최샛별 특강 (통합 신청)",전연령
242,광진구,[팹라이브러리] 원데이클래스 : HANDMADE 나만의 '가죽키링+책갈피',전연령
243,광진구,[팹라이브러리] 4월 매월 마지막 문화가 있는 수요일 < 나만의 컬러 스티커 만들기 > [4/27],전연령
244,광진구,"[팹라이브러리]에서 놀자! DIY 공중부양모빌만들기 (퓨전360) [4/8, 4/15 2회차] ",어린이
245,광진구,[미디어창작공간] 4월: OBS를 활용한 영화 리뷰 영상 제작,성인
246,광진구,4월 문화가 있는 수요일 웹툰 창작 체험: 디저트의 세계,전연령
247,광진구,"[온라인_중곡] “돌아온, 온라인 쏙! 도서관 놀이터”  초등 1~4학년 어린이를 위한 그림책 작가와의 만남",어린이
248,광진구,[온라인_중곡] 도서 평론가 이권우의 책 읽기 특강 “삶을 바꾸는 독서 : 인공지능 시대의 책 읽기”,성인
249,광진구,2022 광진정보도서관 부모교육 <내가 모르는 내 아이 마음 알아보기>,성인
250,광진구,2022 광진정보도서관 일상에서 만나는 인문학 《역사와 문화를 통해 배우는 동유럽》,전연령
251,광진구,[팹라이브러리] 나만의 제페토 월드 만들기<메타버스체험>,전연령
252,광진구,[팹라이브러리] 장비사용교육(4/23),전연령
253,광진구,[팹라이브러리] 장비사용교육(4/9),전연령
254,광진구,[메이커-교육] VR과 함께하는 메타버스,어린이
255,광진구,2022년 광진정보도서관 실버독서회 참여자 모집,성인
256,광진구,[메이커-교육] 3D 공작소: 3D 모델링 창의교육,어린이
257,광진구,"광진정보도서관 ""시니어 자서전""쓰기 참여자 모집 안내",성인
258,광진구,영화로 만나는 한국 현대사(초등 5~6)(2022년 광진정보도서관 교육문화프로그램 1차),어린이
259,광진구,[미디어창작공간] 3월: 크로마키와 OBS 기초활용,성인
260,광진구,2022 광진정보도서관 일상에서 만나는 인문학 「열녀전(列女傳)의 여인들」,성인
261,광진구,[팹라이브러리] 3월 매월 마지막 문화가 있는 수요일 < 3D펜 do it together! >,전연령
262,광진구,[메이커-교육] 웹툰창작 중급반 참가자 모집 (온라인),어린이
263,광진구,[메이커-교육] 웹툰창작 초급반 참가자 모집 (온라인),어린이
264,광진구,[메이커-교육] 그림책과 함께하는 유쾌한 코딩(온라인),어린이
265,광진구,[팹라이브러리]에서 놀자! 나만의 퍼즐 만들기(레이저커팅기)[3/25] ,어린이
266,광진구,[팹라이브러리]에서 놀자! 나만의 퍼즐 만들기(레이저커팅기)[3/11] ,어린이
267,광진구,[메이커-교육] 웹툰창작 성인반 참가자 모집 (온라인),성인
268,광진구,3월 문화가 있는 수요일 웹툰 창작 체험: 익숙한 소재로 엉뚱한 상상하기,전연령
269,광진구,[팹라이브러리] 장비사용교육(3/26),전연령
270,광진구,[팹라이브러리] 장비사용교육(3/12),전연령
271,광진구,[중곡] 2022년 1분기 초등 1~2학년 어린이를 위한 철학 독서 미술 활동 <감성톡톡>,어린이
272,광진구,와글와글 과학놀터 (2)(초등 3~4)(2022년 광진정보도서관 교육문화프로그램 1차),어린이
273,광진구,와글와글 과학놀터 (1)(초등 1~2)(2022년 광진정보도서관 교육문화프로그램 1차),어린이
274,광진구,"도서관, 일상을 기록하다(스마트폰 카메라로 일상 사진찍기)",성인
275,광진구,내가 그린(GREEN) 그림책 업사이클링(2022년 광진정보도서관 교육문화프로그램 1차) ,어린이
276,광진구,어린이 갈래별 글쓰기(다양한 갈래)(2022년 광진정보도서관 교육문화프로그램 1차),어린이
277,광진구,2022년 상반기 광진정보도서관 청소년독서회(중학교 2/3학년),청소년
278,광진구,2022년 상반기 광진정보도서관 청소년독서회(중학교 1학년),청소년
279,광진구,2022 광진정보도서관 도시농업학교,전연령
280,광진구,[메이커-작업] 성인창작(3D프린터운용기능사 실기공략반/Fusion360) 참가자 모집,성인
281,광진구,[팹라이브러리]에서 놀자! 3D프린터 + 리쏘페인 나만의 무드등 만들기 (2/25),어린이
282,광진구,[팹라이브러리]에서 놀자! 3D프린터 + 리쏘페인 나만의 무드등 만들기 (2/11),어린이
283,광진구,[팹라이브러리] 장비사용안전교육(2/26),전연령
284,광진구,[팹라이브러리] 장비사용안전교육(2/12),전연령
285,광진구,"2월 문화가 있는 수요일: 웹툰 창작 체험, 나만의 마우스 패드 만들기",전연령
286,광진구,(어린이를 위한) 반려식물 키우기 교실,어린이
287,광진구,(그림책과 함께하는) 반려식물 키우기 교실(성인),성인
288,광진구,[메이커-작업] 성인창작 <2022 그림책과 오토마타>,전연령
289,광진구,독서동아리 리더보수교육-동아리 리스타트,성인
290,광진구,"[팹라이브러리]에서 놀자! 3D프린터 + 매쉬믹서 (1/21, 1/28 2회차)",어린이
291,광진구,[팹라이브러리] 3D프린터 공방창업 1일특강,성인
292,광진구,[팹라이브러리] 1월 < 토퍼(Topper) > 체험  프로그램,전연령
293,광진구,[팹라이브러리] 장비사용교육(1/29),전연령
294,광진구,[팹라이브러리] 장비사용교육(1/22),전연령
295,광진구,문화가 있는 수요일: 웹툰 창작 체험 1월 ,전연령
296,광진구,[클래식 공연]  클래식 기타로 만나는 가족이야기,성인
297,광진구,2022년 광진정보도서관 겨울방학 독서교실 운영안내,어린이
298,광진구,[메이커-교육] 창의융합형 VR 교육 프로그램 참가자 모집,어린이
299,광진구,[메이커-교육] (인공지능)다이아보드와 함께하는 피지컬 코딩,어린이
300,광진구,[메이커-교육] 3D 공작소: 3D 모델링 창의교육,어린이
301,광진구,[메이커-교육] 웹툰창작 중급반 참가자 모집,어린이
302,광진구,[메이커-교육] 웹툰창작 초급반 참가자 모집,어린이
303,광진구,(그림책과 함께하는) 반려식물 키우기-원데이클래스(12/27),성인
