행사명,대상,행사일시
1.7(목) 2차수령(15-18시) 안심도서대출서비스 ,대상 : 누구나,프로그램 기간 : 2021.01.07 ~ 2021.01.07
1.6(수) 2차수령(15-18시) 안심도서대출서비스 ,대상 : 누구나,프로그램 기간 : 2021.01.06 ~ 2021.01.06
1.5(화) 1차수령(11-14시) 안심도서대출서비스,대상 : 누구나,프로그램 기간 : 2021.01.05 ~ 2021.01.05
1.5(화) 2차수령(15-18시) 안심도서대출서비스,대상 : 누구나,프로그램 기간 : 2021.01.05 ~ 2021.01.05
1.3(일) 1차수령(11-14시) 안심도서대출서비스,대상 : 누구나,프로그램 기간 : 2021.01.03 ~ 2021.01.03
1.3(일) 2차수령(15-18시) 안심도서대출서비스,대상 : 누구나,프로그램 기간 : 2021.01.03 ~ 2021.01.03
부모에게도 교육이 필요한 시대!_[4강] 아이를 변화시키는 부모의 말!,성인,2022.09.28 ~ 2022.09.28
"부모에게도 교육이 필요한 시대!_[3강] 부모와 자녀의 행복한 소통, 가정에서 기르는 문해력",성인,2022.09.14 ~ 2022.09.14
부모에게도 교육이 필요한 시대!_[2강] 부모와 아이 중 한 사람은 어른이어야 한다.,성인,2022.09.07 ~ 2022.09.07
부모에게도 교육이 필요한 시대!_[1강] 아이의 뇌에 어떤 스토리를 심을 것인가?,성인,2022.08.31 ~ 2022.08.31
아빠와 함께 하는 리듬톡톡 북놀이터,성인,2022.08.28 ~ 2022.08.28
엄마와 함께 하는 리듬톡톡 북놀이터,성인,2022.08.24 ~ 2022.08.24
[여름방학특별]경제야 놀자!,초등 3~6학년,2022.08.10 ~ 2022.08.17
이야기가 있는 코딩,초등 4~6학년,2022.08.02 ~ 2022.08.23
[여름방학특별]책읽GO 표현하GO,초등,2022.08.02 ~ 2022.08.30
책읽GO 생각하GO_중학년,초등 3~4학년,2022.07.27 ~ 2022.07.27
책읽GO 생각하GO_고학년,초등 5~6학년,2022.07.12 ~ 2022.07.12
책읽GO 생각하GO_저학년,초등 1~2학년,2022.07.08 ~ 2022.07.08
[칠교연극놀이]아가씨와 여우,7~8세,2022.06.27 ~ 2022.06.27
도서관 펜팔 친구,초등,2022.06.21 ~ 2022.07.21
업사이클링 클레이 화분 만들고 지구지킴이 되기,8세~10세,2022.06.03 ~ 2022.06.03
[체험형동화구연]아기돼지 삼형제(5월21일_14시-15시),5세-8세,2022.05.21 ~ 2022.05.21
[체험형동화구연]아기돼지 삼형제(5월21일_15시-16시),5세-8세,2022.05.21 ~ 2022.05.21
달콤한 도서관 레시피,6~7세,2022.05.14 ~ 2022.05.14
리딩인과 함께하는 책토리,6~13세,2022.05.12 ~ 2022.08.13
[체험형동화구연]아기돼지 삼형제(5월7일_14시-15시),5세-8세,2022.05.07 ~ 2022.05.07
[체험형동화구연]아기돼지 삼형제(5월7일_15시-16시),5세-8세,2022.05.07 ~ 2022.05.07
[공연]어린이 매지컬: 마법전사 매직킹,초등 1~6학년,2022.04.30 ~ 2022.04.30
작은 씨앗이 자라면,"유아, 어린이",2022.04.12 ~ 2022.04.18
(스무고개탐정과 함께 하는)추리독서클럽,초등4~6학년,2022.04.07 ~ 2022.04.28
[책이랑 톡톡. 02] 진형민 작가를 만나다,초등 4-6학년,2022.03.16 ~ 2022.03.16
[책이랑 톡톡. 01] 서현 작가를 만나다,어린이,2022.02.17 ~ 2022.02.17
조물조물 크리스마스 장식만들기(1-2학년),초등1-2학년,2021.12.15 ~ 2021.12.15
조물조물 크리스마스 장식만들기(3-6학년),초등3-6학년,2021.12.15 ~ 2021.12.15
왁자지껄 토론연극 ,초등 3~4학년,2021.12.04 ~ 2021.12.04
[공연]북극곰 예술여행,초등1~6학년,2021.11.27 ~ 2021.11.27
남동윤 작가와 함께하는 만화교실,초등3~6학년,2021.11.04 ~ 2021.11.04
(보고 들으며 느끼는)오감만족 북 콘서트,초등,2021.10.31 ~ 2021.10.31
[음악놀이] 클래식이랑 놀자(5~6세),5세~6세,2021.10.13 ~ 2021.10.13
[음악놀이] 클래식이랑 놀자(7~8세),7세~8세,2021.10.13 ~ 2021.10.13
리딩인 활동가와 함께하는 책토리,6세~초등 6,2021.09.11 ~ 2021.12.11
오세나 작가와 함께 하는 검정토끼,초등2-3학년,2021.09.08 ~ 2021.09.08
[여름방학 특별]방방콕콕 세계문화여행,초등3-6학년,2021.08.10 ~ 2021.08.17
[어린이]반려 물고기 키우기,초등 3~6학년,2021.07.21 ~ 2021.07.21
북스타트 기획 특강_전문가와 함께 하는 육아로드맵_3강 육아를 위한 그림책 읽는 방법 신청,성인,2021.07.21 ~ 2021.07.21
북스타트 기획 특강_전문가와 함께 하는 육아로드맵_2강 꿈꾸는 아이의 그림책 놀이 신청,성인,2021.07.14 ~ 2021.07.14
북스타트 기획 특강_전문가와 함께 하는 육아로드맵_1강 '영.유아기 자녀와 잘지내기' 신청,성인,2021.07.07 ~ 2021.07.07
[유아]알록달록 그림책 놀이,유아 6-7세,2021.06.24 ~ 2021.07.01
어린이를 위한 뉴스 바로 알기,초등 4-6,2021.06.16 ~ 2021.06.16
[도.도.야] 일미터클래식 '행복한 르누아르와 반고흐',초등1~6학년,2021.05.16 ~ 2021.05.16
[어린이책마을]달콤한 도서관 레시피 2강 ,초등 3-4학년,2021.05.09 ~ 2021.05.09
[어린이책마을]달콤한 도서관 레시피 1강  ,초등 1-2학년,2021.05.02 ~ 2021.05.02
2021년 이용자맞춤서비스 ,유아6세~초등6학년,2021.04.24 ~ 2021.07.24
[도서관주간]도서관에 숨은 보물찾기 ,6세~초등 6학년,2021.04.13 ~ 2021.04.18
