,LBRRY_CD,LBRRY_NM,LBRRY_ADDR,LBRRY_LA,LBRRY_LO,ONE_AREA_NM,TWO_AREA_NM,LBRRY_TY_CD,LBRRY_TY_NM,REPRSNT_YN
777,13300,증평군립도서관,충청북도 증평군 증평읍 광장로 37,36.7853074,127.5814886,충청북도,증평군,1,공공,Y
778,13400,진천군립도서관,충청북도 진천군 진천읍 포석길 37-6,36.8574203,127.4374947,충청북도,진천군,1,공공,Y
781,13500,칠곡군립도서관,경상북도 칠곡군 왜관읍 달오1길 6-7,35.9752164,128.3995664,경상북도,칠곡군,1,공공,Y
782,13100,충남도서관,충청남도 홍성군 홍북읍 도청대로 577,36.6303628,126.6650714,충청남도,홍성군,1,공공,Y
786,25000,군산시립도서관,전라북도 군산시 축동로 72,35.9658352,126.7112168,전라북도,군산시,1,공공,Y
790,25200,당진시립중앙도서관,충청남도 당진시 당진중앙2로 132-30,36.8936538,126.632599,충청남도,당진시,1,공공,Y
802,25500,울진남부도서관,경상북도 울진군 후포면 후포삼율로 194-13,36.6878112,129.4439574,경상북도,울진군,1,공공,Y
810,25700,여주시립여주도서관,경기도 여주시 여양로 190-17,37.2998502,127.6511676,경기도,여주시,1,공공,Y
816,25800,인천광역시 수봉도서관,인천광역시 미추홀구 경인로 218,37.4626544,126.6667545,인천광역시,미추홀구,1,공공,Y
820,26000,금천구립가산도서관,서울특별시 금천구 가산로5길 43,37.4734504,126.8921274,서울특별시,금천구,1,공공,Y
824,26100,아산시 중앙도서관,충청남도 아산시 남부로 229,36.7712088,127.0092912,충청남도,아산시,1,공공,Y
830,26300,용산꿈나무도서관,"서울특별시 용산구 백범로 329, 3층",37.5385513,126.9654268,서울특별시,용산구,1,공공,Y
847,26400,옥천군민도서관,충청북도 옥천군 옥천읍 관성로4길 10,36.3004381,127.5746837,충청북도,옥천군,1,공공,Y
848,25900,노원중앙도서관,서울특별시 노원구 노원로34길 43,37.6610613,127.0649973,서울특별시,노원구,1,공공,Y
853,26600,광양중앙도서관,전라남도 광양시 광양읍 향교길 9-30,34.9802034,127.5875486,전라남도,광양시,1,공공,Y
857,26700,광산구립장덕도서관,광주광역시 광산구 풍영로 179,35.1910934,126.8140936,광주광역시,광산구,1,공공,Y
862,26900,동해시립북삼도서관,강원도 동해시 효자로 649,37.4926885,129.1044104,강원도,동해시,1,공공,Y
867,27200,울산동부도서관,울산광역시 동구 봉수로 505,35.5282078,129.4250825,울산광역시,동구,1,공공,Y
868,26500,강동구립성내도서관,서울특별시 강동구 성안로 106-1,37.5327964,127.1333283,서울특별시,강동구,1,공공,Y
873,27000,울주도서관,울산광역시 울주군 언양읍 언양로 109,35.5588501,129.1373782,울산광역시,울주군,1,공공,Y
874,27800,거제시립장평도서관,경상남도 거제시 장평3로 10,34.8892668,128.6094765,경상남도,거제시,1,공공,Y
903,26200,성남시 중앙도서관,경기도 성남시 분당구 판교로 546,37.3985507,127.1068146,경기도,성남시 분당구,1,공공,Y
918,27500,양평군 중앙도서관,경기도 양평군 양평읍 양근로 240-9,37.3985507,127.1068146,경기도,양평군,1,공공,Y
924,27900,광주시립중앙도서관,경기도 광주시 문화로 82,37.4105616,127.2528784,경기도,광주시,1,공공,Y
935,27100,울산도서관,울산광역시 남구 꽃대나리로 140,35.533571,129.3360171,울산광역시,남구,1,공공,Y
945,25300,구미시립중앙도서관,경상북도 구미시 경은로 85,36.1140333,128.335603,경상북도,구미시,1,공공,Y
951,26800,속초시립도서관,강원도 속초시 조양로 89,38.186751,128.5908462,강원도,속초시,1,공공,Y
964,20100,부산광역시립구덕도서관,부산광역시 서구 대신공원로 41,35.1217413,129.0169653,부산광역시,서구,1,공공,Y
1010,28600,가평군 한석봉도서관,경기도 가평군 가평읍 문화로 187,37.8248081,127.5067831,경기도,가평군,1,공공,Y
1014,28800,강진군도서관,전라남도 강진군 강진읍 남문길 10,34.640635,126.7695711,전라남도,강진군,1,공공,Y
1015,28900,해남군립도서관,전라남도 해남군 해남읍 군청길 4,34.5735147,126.5994916,전라남도,해남군,1,공공,Y
1016,29100,춘천시립도서관,강원도 춘천시 우석로 100,37.8631687,127.7503805,강원도,춘천시,1,공공,Y
1017,29000,경주시립도서관,경상북도 경주시 원화로 431-12,35.8598841,129.2186252,경상북도,경주시,1,공공,Y
1023,29200,의성군립도서관,경상북도 의성군 안계면 안계길 114,36.3839638,128.4401794,경상북도,의성군,1,공공,Y
1025,27400,다산도서관,경상북도 고령군 다산면 다산로681,35.8219087,128.4272761,경상북도,고령군,1,공공,Y
1026,25400,시흥시 중앙도서관,경기도 시흥시 정왕대로 191,37.348122,126.735583,경기도,시흥시,1,공공,Y
1040,28500,경남대표도서관,경상남도 창원시 의창구 사림로45번길 59,35.2490494,128.6820973,경상남도,창원시 의창구,1,공공,Y
1043,27700,사당솔밭도서관,서울특별시 동작구 솔밭로 86,37.4840674,126.9673849,서울특별시,동작구,1,공공,Y
1051,28200,서대문구립이진아기념도서관,서울특별시 서대문구 독립문공원길 80,37.5743009,126.9559178,서울특별시,서대문구,1,공공,Y
1068,28100,구로꿈나무어린이도서관,서울특별시 구로구 구로동로26길 54,37.4898684,126.8872465,서울특별시,구로구,1,공공,Y
1085,29400,경북도서관,경상북도 예천군 호명면 도청대로 200,36.5743881,128.4879321,경상북도,예천군,1,공공,Y
1098,29600,충청남도천안교육지원청 성환도서관,충청남도 천안시 서북구 성환읍 신선동길 25,36.9132001,127.1306784,충청남도,천안시 서북구,1,공공,Y
1116,28700,구리시 인창도서관,경기도 구리시 건원대로34번길 90,37.6050723,127.1456099,경기도,구리시,1,공공,Y
1122,29900,대구광역시립중앙도서관,대구광역시 중구 공평로10길 25,35.868515,128.60165,대구광역시,중구,1,공공,Y
1186,30800,예산군립도서관,충청남도 예산군 예산읍 벚꽃로 214,36.7072033,126.8443314,충청남도,예산군,1,공공,Y
1190,30400,사북공공도서관,강원도 정선군 사북읍 파랑새길 33,37.2242124,128.824665,강원도,정선군,1,공공,Y
1191,30700,홍산공공도서관,충청남도 부여군 홍산면 홍산로 77-1,36.2166586,126.7605264,충청남도,부여군,1,공공,Y
1192,30900,구례군 매천도서관,전라남도 구례군 구례읍 봉성로 38,35.2025,127.4627778,전라남도,구례군,1,공공,Y
